forbes_name,clean_name,education
Roy Carroll II,Roy Carroll II,
Jay-Z,Jay-Z,
Bang Si-hyuk,Bang Si-hyuk,Seoul National University ( BA )
David Golub,David Golub,
Rishad Naoroji,Rishad Naoroji,
Florian Rehm,Florian Rehm,
Francois Feuillet & family,Francois Feuillet,
Barbara Banke & family,Barbara Banke,
Mark Davis,Mark Davis,
Li Gaiteng,Li Gaiteng,
Panagiotis Tsakos & family,Panagiotis Tsakos,
Wang Yun'an,Wang Yun'an,
Zhu Gongshan & family,Zhu Gongshan,
Richard Sands,Richard Sands,
Fernando Roig,Fernando Roig,
Atul Ruia,Atul Ruia,
Roman Trotsenko,Roman Trotsenko,Moscow State University
Bennett Rosenthal,Bennett Rosenthal,
Qin Hua,Qin Hua,
Adebayo Ogunlesi,Adebayo Ogunlesi,"King's College, Lagos"
Jayme Garfinkel & family,Jayme Garfinkel,Engineer
Alexander Lutsenko & family,Alexander Lutsenko,
Hussain Binghatti Aljbori,Hussain Binghatti Aljbori,
Jennifer Pritzker,Jennifer Pritzker,Loyola University Chicago ( BA )
Nikhil Kamath,Nikhil Kamath,
Michael Polsky,Michael Polsky,
Joseph Edelman,Joseph Edelman,"BS , Psychology, 1978, University of California , San Diego MBA , New York University Stern School of Business , 1988"
Anna Angelicoussis & family,Anna Angelicoussis,
Michael Heine,Michael Heine,
Oei Hong Leong,Oei Hong Leong,
Liang Feng,Liang Feng,
Domenico Dolce,Domenico Dolce,
Stefano Gabbana,Stefano Gabbana,Istituto Superiore per le Industrie Artistiche
Long Wan,Long Wan,
Yvonne Bauer,Yvonne Bauer,University of Bamberg
Brett Blundy,Brett Blundy,
Hal Jackman,Hal Jackman,
Roger Wang,Roger Wang,Chinese Culture University ( LLB ) Southeastern Louisiana University ( MBA )
Michel Litvak,Michel Litvak,
Kenneth Feld & family,Kenneth Feld,Boston University ( BA )
Reid Hoffman,Reid Hoffman,"Stanford University ( BS ) Wolfson College, Oxford ( MSt )"
Yasuhiro Fukushima,Yasuhiro Fukushima,
Zhao Lixin,Zhao Lixin,Central Academy of Drama
Tim Cook,Tim Cook,Auburn University ( BS ) Duke University ( MBA )
Julio Ponce Lerou,Julio Ponce Lerou,
Mustafa Rahmi Koc,Mustafa Rahmi Koc,
Max Levchin,Max Levchin,University of Illinois at Urbana-Champaign ( BS )
Ion Stoica,Ion Stoica,Carnegie Mellon University
Matei Zaharia,Matei Zaharia,UC Berkeley (Ph.D.) University of Waterloo (BMath)
Evan Spiegel,Evan Spiegel,Stanford University ( BS )
Charles Bronfman,Charles Bronfman,McGill University
Ajay Parekh,Ajay Parekh,
Narendrakumar Parekh,Narendrakumar Parekh,
Stephen Mandel Jr,Stephen Mandel Jr,
Douglas Hsu,Douglas Hsu,
Sheryl Sandberg,Sheryl Sandberg,"Harvard University ( AB , MBA )"
Filiz Sahenk,Filiz Sahenk,
Kamal Ghaffarian,Kamal Ghaffarian,
Dong Wei,Dong Wei,
Hamdi Ulukaya,Hamdi Ulukaya,University at Albany Ankara University
Kim Jun-ki,Kim Jun-ki,Korea University (graduated 1973)
Rolf Gerling,Rolf Gerling,University of Zurich
Stefan Olsson,Stefan Olsson,
Beda Diethelm,Beda Diethelm,
Ren Yuanlin,Ren Yuanlin,
John Stanton,John Stanton,
Shmuel Harlap,Shmuel Harlap,Hebrew University of Jerusalem (1971) Harvard University (1975)
Chu Lam Yiu,Chu Lam Yiu,
David Kaplan,David Kaplan,
Reinfried Pohl Jr,Reinfried Pohl Jr,
K. Dinesh,K. Dinesh,
Zhuo Jun,Zhuo Jun,
Robert G. Miller,Robert G. Miller,
Kevin Systrom,Kevin Systrom,Stanford University ( BS )
Pierre Karl Péladeau,Pierre Karl Péladeau,Collège Jean-de-Brébeuf UQAM Université de Montréal
Or Wai Sheun,Or Wai Sheun,
Alexander Svetakov,Alexander Svetakov,Moscow Institute of Electronic Machine Building (MIEM)
Zheng Jianjiang & family,Zheng Jianjiang,
Sun Shoukuan,Sun Shoukuan,
Jimmy John Liautaud,Jimmy John Liautaud,Eastern Illinois University
Chang Kuo-Hua,Chang Kuo-Hua,
Michelle Zatlyn,Michelle Zatlyn,McGill University (BS) Harvard University (MBA)
Mika Anttonen,Mika Anttonen,
Huang Xiaofen & family,Huang Xiaofen,
Mi Enhua,Mi Enhua,
Duke Reyes,Duke Reyes,
Huang Yi,Huang Yi,
Wu Yiling,Wu Yiling,
Shlomo Kramer,Shlomo Kramer,"Tel Aviv University (B.C.S and BMath), Hebrew University (M.C.S)"
Rick Smith,Rick Smith,
Arkady Volozh,Arkady Volozh,Gubkin Russian State University of Oil and Gas
Bruce Karsh,Bruce Karsh,Duke University ( B.A. ) University of Virginia ( J.D. )
Barbara Tyson,Barbara Tyson,
Jim Crane,Jim Crane,Central Missouri State University ( BS )
Sylvia Stroeher,Sylvia Stroeher,
Chen Qiongxiang,Chen Qiongxiang,
Remi Dassault,Remi Dassault,
Helena Dassault,Helena Dassault,
Tang Yiu,Tang Yiu,
Henry Davis,Henry Davis,
Masaaki Arai,Masaaki Arai,
Wesley Edens,Wesley Edens,Oregon State University ( BS )
Wee Ee Cheong,Wee Ee Cheong,"American University ( BS , MA )"
Sergei Kolesnikov,Sergei Kolesnikov,
Igor Rybakov,Igor Rybakov,Moscow Institute of Physics and Technology
Sekar Vembu,Sekar Vembu,
Wang Junshi & family,Wang Junshi,
Syed Mokhtar AlBukhary,Syed Mokhtar AlBukhary,
Angela Leong,Angela Leong,
Henry Sy Jr,Henry Sy Jr,
Sandeep Engineer,Sandeep Engineer,
Steve Case,Steve Case,Williams College
Bernard Ecclestone & family,Bernard Ecclestone,
Natacha Nikolajevic,Natacha Nikolajevic,
Jupally Rameshwar Rao,Jupally Rameshwar Rao,
Chen Tei-fu,Chen Tei-fu,
David Walentas,David Walentas,University of Virginia
Michael Arougheti,Michael Arougheti,
Joe Lacob,Joe Lacob,
Vasily Shikin,Vasily Shikin,
Ren Jinsheng & family,Ren Jinsheng,
Manfredi Lefebvre d'Ovidio & family,Manfredi Lefebvre d'Ovidio,Sapienza University of Rome (dropped out)
Eugene Murtagh,Eugene Murtagh,
Sara George Muthoot,Sara George Muthoot,
George Jacob Muthoot,George Jacob Muthoot,
George Thomas Muthoot,George Thomas Muthoot,
George Alexander Muthoot,George Alexander Muthoot,"St. Thomas College, Kozhencherry The Institute of Chartered Accountants of India"
Maria Franca Fissolo,Maria Franca Fissolo,
Rita Tong Liu,Rita Tong Liu,
Annalisa Doris,Annalisa Doris,
Massimo Doris,Massimo Doris,
Jay Hennick,Jay Hennick,York University (B.A.) University of Ottawa (LL.B.)
Sergei Sudarikov,Sergei Sudarikov,
David Nahmad,David Nahmad,
Esther Grether,Esther Grether,
Daniel Lubetzky,Daniel Lubetzky,Trinity University ( BA ) Stanford University ( JD )
Lina Tombolato,Lina Tombolato,
Bill Malhotra,Bill Malhotra,
Alexandre Grendene Bartelle,Alexandre Grendene Bartelle,University of Caxias do Sul
George Joseph,George Joseph,
Alberto Bombassei,Alberto Bombassei,
Richard Hayne,Richard Hayne,Lehigh University
Dermot Desmond,Dermot Desmond,
David Zalik,David Zalik,
Carlos March Delgado,Carlos March Delgado,
Peter Leibinger,Peter Leibinger,
Nicola Leibinger-Kammueller,Nicola Leibinger-Kammueller,
Regine Leibinger,Regine Leibinger,
Abdullah bin Sulaiman Al Rajhi,Abdullah bin Sulaiman Al Rajhi,
Ion Tiriac,Ion Tiriac,
Kenneth Hao,Kenneth Hao,
Alexandra Daitch,Alexandra Daitch,
Lucy Stitzer,Lucy Stitzer,
Sarah MacMillan,Sarah MacMillan,
Michael Ying,Michael Ying,
Abdullah Amer Al Nahdi,Abdullah Amer Al Nahdi,
Heikki Kyostila,Heikki Kyostila,
Paul Saville,Paul Saville,
Harald Tschira,Harald Tschira,
Udo Tschira,Udo Tschira,
Gerda Tschira,Gerda Tschira,
Jerry Reinsdorf,Jerry Reinsdorf,George Washington University ( BA ) Northwestern University ( JD )
Surjit Kumar Gupta,Surjit Kumar Gupta,
Anita Zucker,Anita Zucker,University of Florida University of North Florida
Adam Neumann,Adam Neumann,Israeli Naval Academy Baruch College ( BA )
Anthony Wood,Anthony Wood,
Edward Lampert,Edward Lampert,Yale University
Christopher Rokos,Christopher Rokos,
Alexey Repik,Alexey Repik,
David Adelman,David Adelman,
Basudeo Singh,Basudeo Singh,
Antonio Gracias,Antonio Gracias,"Georgetown University (BSFS, MSFS) University of Chicago (JD)"
David Fong,David Fong,
Greg Mondre,Greg Mondre,
Egon Durban,Egon Durban,
Stefan Soloviev,Stefan Soloviev,University of Rhode Island (dropped out)
Zadik Bino & family,Zadik Bino,
John Fish,John Fish,
Daniel Nadler,Daniel Nadler,Harvard University
Jeremy Allaire,Jeremy Allaire,Macalester College
Gan Zhongru,Gan Zhongru,
David Teoh,David Teoh,
Steven Sarowitz,Steven Sarowitz,University of Illinois at Urbana–Champaign
Katarina Martinson,Katarina Martinson,Stockholm School of Economics
Abdullah Al Othaim,Abdullah Al Othaim,
Stephan Schnabel,Stephan Schnabel,
Li Zhongchu,Li Zhongchu,Wuhan University
Leonard Abess,Leonard Abess,
Wu Yingming,Wu Yingming,
Alexander Skorobogatko,Alexander Skorobogatko,
Tom Ford,Tom Ford,Parsons School of Design
Marianna Latsis & family,Marianna Latsis,
Airat Shaimiev,Airat Shaimiev,
Constantinos Martinos & family,Constantinos Martinos,
Chi Yufeng,Chi Yufeng,Tsinghua University
Ami Luttwak,Ami Luttwak,
Yinon Costica,Yinon Costica,
Roy Reznik,Roy Reznik,
Assaf Rappaport,Assaf Rappaport,Hebrew University of Jerusalem (BSc) Technion – Israel Institute of Technology (MSc)
Sam Goi,Sam Goi,Dunman High School
Toshio Motoya,Toshio Motoya,
Jonathan Tisch,Jonathan Tisch,Tufts University
Irving Grousbeck & family,Irving Grousbeck,Amherst College Harvard Business School
Dmitry Mazepin,Dmitry Mazepin,MGIMO University
Suhail Bahwan,Suhail Bahwan,
Wong Luen Hei,Wong Luen Hei,
Zhang Shengwei,Zhang Shengwei,
Jerry Speyer & family,Jerry Speyer,"Columbia University ( BA , MBA )"
Raamdeo Agrawal,Raamdeo Agrawal,Chartered accountant ( Institute of Chartered Accountants of India )
Jack Cogen,Jack Cogen,
Ales Zavoral,Ales Zavoral,
D. Leopoldo Del Pino,D. Leopoldo Del Pino,
Phongthep Chiaravanont,Phongthep Chiaravanont,
Fiona Geminder,Fiona Geminder,Monash University
Noam Gottesman,Noam Gottesman,Columbia University
Juan March Delgado,Juan March Delgado,
Shi Yonghong & family,Shi Yonghong,
An Kang,An Kang,
Pawel Marchewka,Pawel Marchewka,
James Scapa,James Scapa,
Inder Jaisinghani,Inder Jaisinghani,
Xu Jinfu & family,Xu Jinfu,
Juan Domingo Beckmann Legorreta & family,Juan Domingo Beckmann Legorreta,
Liang Rubo,Liang Rubo,
Howard Marks,Howard Marks,
James Dinan,James Dinan,University of Pennsylvania Harvard University
Ioannis Papalekas,Ioannis Papalekas,
Susan Ocampo & family,Susan Ocampo,
Alicia Koplowitz,Alicia Koplowitz,
Stephen Rubin & family,Stephen Rubin,University College London
Manas Chiaravanond,Manas Chiaravanond,
Yuan Jiandong & family,Yuan Jiandong,
Enrique Coppel Luken,Enrique Coppel Luken,
Jane Lauder,Jane Lauder,Stanford University
Xu Yingzhuo,Xu Yingzhuo,
Charles Liang,Charles Liang,National Taiwan University of Science and Technology ( BS ) University of Texas at Arlington ( MS )
Ibrahim Erdemoglu,Ibrahim Erdemoglu,
Prathip Chiravanond,Prathip Chiravanond,
Dragos Paval,Dragos Paval,
Somsri Lamsam,Somsri Lamsam,
David Peñaloza Alanís,David Peñaloza Alanís,
Zhang Jingzhang & family,Zhang Jingzhang,
Mohammed Dewji,Mohammed Dewji,Georgetown University
Leonard Schleifer,Leonard Schleifer,"Cornell University ( BS ) University of Virginia ( MD , PhD )"
Igor Rotenberg,Igor Rotenberg,
Thomas Kwok,Thomas Kwok,London Business School Imperial College
Ruan Hongliang,Ruan Hongliang,
Katsumi Tada,Katsumi Tada,
Larry Robbins,Larry Robbins,University of Pennsylvania [ 2 ]
Wang Zhenhua,Wang Zhenhua,
Chen Jinxia,Chen Jinxia,
Jaroslav Hascak & family,Jaroslav Hascak,
Louise Lindh,Louise Lindh,
Drew Houston,Drew Houston,Massachusetts Institute of Technology
Kabir Mulchandani,Kabir Mulchandani,"Stanford University , Phillips Exeter Academy"
Alec Gores,Alec Gores,Western Michigan University
Huijiao Yu,Huijiao Yu,
Marek Dospiva,Marek Dospiva,
Richard Saghian,Richard Saghian,
Luciano Hang,Luciano Hang,Blumenau Regional University
Karl Scheufele III & family,Karl Scheufele III,International School of Geneva (Ecolint) Faculty of Business and Economics (Lausanne)
Solomon Lew,Solomon Lew,Mount Scopus Memorial College
Cai Huabo,Cai Huabo,
Feridun Gecgel,Feridun Gecgel,
Boris Zingarevich,Boris Zingarevich,Leningrad Technological Institute for the Pulp and Paper Industry
Zhao Tao,Zhao Tao,
Xue Xiangdong & family,Xue Xiangdong,Hunan University
Julio Bozano,Julio Bozano,
Ilkka Herlin,Ilkka Herlin,University of Helsinki [ 1 ]
Marcel Herrmann Telles & family,Marcel Herrmann Telles,Federal University of Rio de Janeiro
Zhang Li,Zhang Li,
Ramesh Jaisinghani,Ramesh Jaisinghani,
Zhang Bangxin,Zhang Bangxin,"EMBA, China Europe International Business School"
Ajay Jaisinghani,Ajay Jaisinghani,
Vikram Punia,Vikram Punia,
Katharina Andresen,Katharina Andresen,
Simon Nixon,Simon Nixon,University of Nottingham (dropped out)
Mrudula Parekh,Mrudula Parekh,
Lai Shixian,Lai Shixian,
Yu Kai,Yu Kai,
Thomas Wu,Thomas Wu,"Fu Jen Catholic University ( BA ) University of California, Los Angeles ( MBA )"
Alice Schwartz,Alice Schwartz,"University of California, Berkeley"
Vasily Anisimov,Vasily Anisimov,Alma-Ata Institute of National Economy
Liu Xiaodong,Liu Xiaodong,
Lin Xiucheng & family,Lin Xiucheng,
Zhang Gongyun,Zhang Gongyun,
Alexander Ponomarenko,Alexander Ponomarenko,Simferopol State University Russian State Academy of Management
Zhang Ning,Zhang Ning,
Gabriele Gebauer,Gabriele Gebauer,
Stephan Schmidheiny,Stephan Schmidheiny,University of Zurich ( PhD )
P.V. Krishna Reddy,P.V. Krishna Reddy,
Anand Burman,Anand Burman,"University of Wisconsin (BS, MS) University of Kansas (PhD)"
John Hancock,John Hancock,Harvard University
Wei Ying-Chiao,Wei Ying-Chiao,
Wei Ing-Chou,Wei Ing-Chou,
Wei Yin-Chun,Wei Yin-Chun,
Wei Yin-Heng,Wei Yin-Heng,
Koh Wee Meng,Koh Wee Meng,
Clayton Zekelman,Clayton Zekelman,
Mario Germano Giuliani,Mario Germano Giuliani,
Zakhar Smushkin,Zakhar Smushkin,
Fritz Draexlmaier,Fritz Draexlmaier,
Craig McCaw,Craig McCaw,Stanford University
Liang Guangwei,Liang Guangwei,
Anthony Casalena,Anthony Casalena,
T. Denny Sanford,T. Denny Sanford,University of Minnesota
Ginia Rinehart,Ginia Rinehart,
Ali Metin Kazanci,Ali Metin Kazanci,
Conni Jonsson,Conni Jonsson,
Sergei Studennikov & family,Sergei Studennikov,
Park Hyeon-joo,Park Hyeon-joo,"Korea University (BA, 1983)"
Thaksin Shinawatra,Thaksin Shinawatra,Armed Forces Academies Preparatory School Royal Police Cadet Academy Eastern Kentucky University Sam Houston State University ( PhD )
Kwek Leng Keow,Kwek Leng Keow,
Kwek Leng Peck,Kwek Leng Peck,
Larry Connor & family,Larry Connor,
Marc Lipschultz,Marc Lipschultz,
Bianca Rinehart,Bianca Rinehart,
Hope Welker,Hope Welker,
Alexandra Andresen,Alexandra Andresen,
Nobutoshi Shimamura,Nobutoshi Shimamura,
Walter Wang,Walter Wang,"University of California, Berkeley"
Dominika Kulczyk,Dominika Kulczyk,Adam Mickiewicz University
John Phillips,John Phillips,
Catherine Phillips,Catherine Phillips,
Wichai Thongtang,Wichai Thongtang,
Shyam Bhartia,Shyam Bhartia,
Ingrid Wu,Ingrid Wu,Changzhou School of Public Health
Radik Shaimiev,Radik Shaimiev,
Vladislav Filev & family,Vladislav Filev,
Alfredo Egydio Arruda Villela Filho,Alfredo Egydio Arruda Villela Filho,
Igor Makarov,Igor Makarov,
Alberto Prada,Alberto Prada,
Marina Prada,Marina Prada,
Vitaly Orlov,Vitaly Orlov,
Chung Mong-joon,Chung Mong-joon,Seoul National University ( BA ) Massachusetts Institute of Technology ( MBA ) Johns Hopkins University ( PhD )
Andrey Andreev,Andrey Andreev,
Rubens Menin Teixeira de Souza,Rubens Menin Teixeira de Souza,Universidade Federal de Minas Gerais
Jon Winkelried,Jon Winkelried,"University of Chicago ( BA , MBA )"
Pieter van der Does,Pieter van der Does,
Wang Wenmo,Wang Wenmo,
Hari Bhartia,Hari Bhartia,
Ben Silbermann,Ben Silbermann,Yale University ( BA )
Cho Jyh-jer,Cho Jyh-jer,
Will Adderley,Will Adderley,
Roberto Hernandez Ramirez,Roberto Hernandez Ramirez,
Bhadresh Shah,Bhadresh Shah,
Sam Chong,Sam Chong,
Archie Hwang,Archie Hwang,
Wong Man Li,Wong Man Li,
Albert Shigaboutdinov,Albert Shigaboutdinov,
Dennis Gillings,Dennis Gillings,University of Exeter
Ravi Modi,Ravi Modi,
Rustem Sulteev,Rustem Sulteev,
Paul Sciarra,Paul Sciarra,Yale University
John Abele & family,John Abele,Amherst College
B. Wayne Hughes Jr,B. Wayne Hughes Jr,
Phillip Frost,Phillip Frost,University of Pennsylvania ( BA Albert Einstein College of Medicine ( MD )
Tom Werner,Tom Werner,Harvard University ( BA )
P.P. Reddy,P.P. Reddy,
Raj Sardana,Raj Sardana,
Bhavish Aggarwal,Bhavish Aggarwal,IIT Bombay ( B.Tech )
Stephen Orenstein & family,Stephen Orenstein,
Thomas Steyer,Thomas Steyer,Yale University ( BA ) Stanford University ( MBA )
David Chen,David Chen,"University of California, Irvine [ 1 ]"
Robert Miller,Robert Miller,
Ilona Herlin,Ilona Herlin,
Karin Sartorius-Herbst,Karin Sartorius-Herbst,
Mohammad Abunayyan,Mohammad Abunayyan,
Shu Ping,Shu Ping,
Ian Wood & family,Ian Wood,
Binod Chaudhary,Binod Chaudhary,
Linda Pritzker,Linda Pritzker,
Pan Dong,Pan Dong,
Nerio Alessandri,Nerio Alessandri,
Bahaa Hariri,Bahaa Hariri,Boston University
Amy Adams Strunk,Amy Adams Strunk,University of Texas at Austin
Tor Peterson,Tor Peterson,
Alex Birkenstock,Alex Birkenstock,
Liu Gexin & family,Liu Gexin,
Michael Ashcroft,Michael Ashcroft,Anglia Ruskin University
John de Mol,John de Mol,
Stephane Courbit,Stephane Courbit,"ISG Business School Paris University Institutes of Technology , Valence"
Wilma Tisch,Wilma Tisch,Skidmore College
Oren Zeev,Oren Zeev,"BSc cum laude Elecetrical Engineering, Technion , Israel. MBA with Distinction, INSEAD , France"
Chao Chung-Hsin,Chao Chung-Hsin,
David Lichtenstein,David Lichtenstein,
Gregg Hymowitz,Gregg Hymowitz,State University of New York at Binghamton ( BA ) Harvard University ( JD )
Gary Chouest & family,Gary Chouest,
Chin Jong Hwa,Chin Jong Hwa,
Huang Xu,Huang Xu,
Xu Shugen,Xu Shugen,
Evangelos Mytilineos,Evangelos Mytilineos,
Adam Forste,Adam Forste,
Kevin Marchetti,Kevin Marchetti,
Daniel Hirschfeld,Daniel Hirschfeld,
Mohamed Alabbar,Mohamed Alabbar,Seattle University (1981) [ 1 ] [ 2 ]
Ilson Mateus & family,Ilson Mateus,
Amy Wyss,Amy Wyss,Skidmore College
Louis Le Duff,Louis Le Duff,École supérieure des sciences commerciales d'Angers Université de Sherbrooke University of Rennes
Peter Lim,Peter Lim,University of Western Australia
Bambang Sutantio,Bambang Sutantio,
Chris Wallin,Chris Wallin,University of Queensland
Patrick Hanrahan,Patrick Hanrahan,"University of Wisconsin, Madison ( BS , MS , PhD )"
Carl Ferdinand Oetker,Carl Ferdinand Oetker,
Alfred Oetker,Alfred Oetker,
Shamsheer Vayalil,Shamsheer Vayalil,"Kasturba Medical College, Mangalore ( MBBS ) Sri Ramachandra Medical College and Research Institute (MD)"
Wee Ee Lim,Wee Ee Lim,
David Hoffmann,David Hoffmann,
Sam Altman,Sam Altman,Stanford University (dropped out)
Othman Benjelloun & family,Othman Benjelloun,Ecole Polytechnique de Lausanne [ 1 ]
Chang Jianming & family,Chang Jianming,
Naomi Azrieli,Naomi Azrieli,
Sharon Azrieli,Sharon Azrieli,"Vassar College ( AB ) Parsons School of Design (AAS) Juilliard School (Adv Cert Vocal Perf) l'Université de Montréal ( MA , DMus )"
Danna Azrieli,Danna Azrieli,Swarthmore College (BA) Vermont Law School ( Juris Doctor (JD))
Bruce Toll,Bruce Toll,B.A. University of Miami
Steven Witkoff,Steven Witkoff,"Hofstra University ( BA , JD )"
Hans Sy,Hans Sy,Assumption College (Teresita) Maryknoll College (Elizabeth) De La Salle University (Sy brothers)
Alain Taravella,Alain Taravella,HEC Paris
Hui Wing Mau,Hui Wing Mau,University of Adelaide [ 1 ] [ 2 ]
Lei Jufang,Lei Jufang,
Cho Hyun-joon,Cho Hyun-joon,Yale University ( BA ) Keio University ( MA )
Marc Andreessen,Marc Andreessen,University of Illinois Urbana-Champaign ( BS )
Geoffrey Palmer,Geoffrey Palmer,
Evan Williams,Evan Williams,
William Koch,William Koch,
Christopher Goldsbury,Christopher Goldsbury,
Deepinder Goyal,Deepinder Goyal,
Sandor Csanyi,Sandor Csanyi,
Jeffrey Michael & family,Jeffrey Michael,
Wu Shaoxun,Wu Shaoxun,
Romano Minozzi,Romano Minozzi,
Manuel Lao Hernández & family,Manuel Lao Hernández,
Sabrina Benetton,Sabrina Benetton,
Motilal Oswal,Motilal Oswal,Institute of Chartered Accountants of India
Herbert Allen Jr & family,Herbert Allen Jr,
Viren Doshi,Viren Doshi,
Nicola Bulgari,Nicola Bulgari,
John Oyler,John Oyler,
Madhusudan Agarwal,Madhusudan Agarwal,
Girdhari Lal Bawri,Girdhari Lal Bawri,
Riaz Valani,Riaz Valani,
Terry Taylor,Terry Taylor,Guilford College
Leslie Alexander,Leslie Alexander,
Massimo Moratti,Massimo Moratti,
Petter Stordalen & family,Petter Stordalen,
Martin Knauf,Martin Knauf,
Bobby Murphy,Bobby Murphy,"Stanford University , ( BS )"
Ron Sim,Ron Sim,
Cristina Junqueira,Cristina Junqueira,University of São Paulo Northwestern University
Ali Erdemoglu,Ali Erdemoglu,
Kapil Bhatia,Kapil Bhatia,
Todd Wagner,Todd Wagner,Indiana University Bloomington University of Virginia
Lesley Bamberger,Lesley Bamberger,
Kwak Dong Shin,Kwak Dong Shin,
Wee Ee Chao,Wee Ee Chao,
Gavril Yushvaev & family,Gavril Yushvaev,
Keith Dunleavy & family,Keith Dunleavy,
Carsten Maschmeyer,Carsten Maschmeyer,
Asok Kumar Hiranandani,Asok Kumar Hiranandani,
Chao Yung-Tsang,Chao Yung-Tsang,
Alfred West Jr,Alfred West Jr,
Fan Xiulian,Fan Xiulian,
Elisabeth Douglas,Elisabeth Douglas,
Sandro Veronesi & family,Sandro Veronesi,
Nihat Ozdemir,Nihat Ozdemir,Gazi University
Roberto Angelini Rossi,Roberto Angelini Rossi,
Kie Chie Wong,Kie Chie Wong,
Deng Weiming & family,Deng Weiming,
Hermanto Tanoko,Hermanto Tanoko,
Byunghoon Kim,Byunghoon Kim,
Miranda Qu,Miranda Qu,
Charlwin Mao,Charlwin Mao,Shanghai Jiao Tong University Stanford University
Zbigniew Juroszek & family,Zbigniew Juroszek,
Xu Chuanhua & family,Xu Chuanhua,
Cynthia Helena Grossman Fleishman,Cynthia Helena Grossman Fleishman,
Mark Coombs,Mark Coombs,"St John's College, Cambridge"
Banwari Lal Bawri,Banwari Lal Bawri,
Rajendra Agarwal,Rajendra Agarwal,
Cheng Zhenghui,Cheng Zhenghui,
Lloyd Blankfein,Lloyd Blankfein,"Harvard University ( BA , JD )"
Chow Shing Yuk,Chow Shing Yuk,
Mario Gabelli,Mario Gabelli,Fordham University Columbia Business School
Shen Xiqiang & family,Shen Xiqiang,
Guilherme Benchimol,Guilherme Benchimol,
Huang Zhenda & family,Huang Zhenda,
Pawan Munjal,Pawan Munjal,National Institute of Technology Kurukshetra
Herbert Sy,Herbert Sy,Assumption College (Teresita) Maryknoll College (Elizabeth) De La Salle University (Sy brothers)
Sezai Bacaksiz,Sezai Bacaksiz,
Chad Richison,Chad Richison,University of Central Oklahoma (B.A.)
Michael Rees,Michael Rees,
Daniel Chiu,Daniel Chiu,
Ana Lucia de Mattos Barretto Villela,Ana Lucia de Mattos Barretto Villela,
Stanley Hubbard,Stanley Hubbard,University of Minnesota
Charlotte Colket Weber,Charlotte Colket Weber,
Christoph Henkel,Christoph Henkel,
Karin Schick,Karin Schick,
Andy Fang,Andy Fang,Stanford University ( BS )
Marc Lasry,Marc Lasry,Clark University ( BA ) New York Law School ( JD )
Li Liangbin,Li Liangbin,
John Goff,John Goff,
Petro Poroshenko,Petro Poroshenko,Taras Shevchenko National University
Joaquin del Pino y Calvo-Sotelo,Joaquin del Pino y Calvo-Sotelo,
Giovanni Arvedi,Giovanni Arvedi,
S.D. Shibulal,S.D. Shibulal,"Maharaja's College, Ernakulam Boston University"
Itzhak Ezratti & family,Itzhak Ezratti,
Vladimir Fartushnyak,Vladimir Fartushnyak,
Drorit Wertheim,Drorit Wertheim,
Edir Macedo & family,Edir Macedo,
Alex Shevchenko,Alex Shevchenko,
Max Lytvyn,Max Lytvyn,
Philippe Ginestet & family,Philippe Ginestet,
Bob Ell,Bob Ell,
Gao Jifan & family,Gao Jifan,
Konstantin Strukov & family,Konstantin Strukov,
Wang Jianfeng & family,Wang Jianfeng,Northwestern Polytechnical University
Athanasios Martinos & family,Athanasios Martinos,
Mark Attanasio,Mark Attanasio,
Carmen Daurella Aguilera,Carmen Daurella Aguilera,
Wang Miaotong,Wang Miaotong,
James Leininger,James Leininger,"Indiana University Indianapolis ( BA , MD )"
Nan Cunhui,Nan Cunhui,
Wenaas Lars,Wenaas Lars,
Luiz Frias,Luiz Frias,
Phil Shawe,Phil Shawe,
Sun Mengquan & family,Sun Mengquan,
Andres Santo Domingo,Andres Santo Domingo,
Henry Engelhardt,Henry Engelhardt,University of Michigan INSEAD
Valentin Kipyatkov,Valentin Kipyatkov,
Duncan MacMillan,Duncan MacMillan,
Yang Qiumei,Yang Qiumei,
Jenny Lindén Urnes,Jenny Lindén Urnes,
Hemendra Kothari,Hemendra Kothari,
Norbert Dentressangle & family,Norbert Dentressangle,
Jannie Mouton & family,Jannie Mouton,Stellenbosch University
A. Jayson Adair,A. Jayson Adair,
Liang Qin & family,Liang Qin,
Georg Haub,Georg Haub,
Ye Xiaoping,Ye Xiaoping,
Holger Loclair,Holger Loclair,
Cai Wensheng,Cai Wensheng,
Meng Qingshan & family,Meng Qingshan,
Sam Pollock,Sam Pollock,
Suman Munjal,Suman Munjal,
Sebastian Kulczyk,Sebastian Kulczyk,Adam Mickiewicz University
Hans-Ueli Rihs & family,Hans-Ueli Rihs,
Renu Munjal,Renu Munjal,
Gerry Cardinale,Gerry Cardinale,Harvard University Oxford University
Brian Higgins,Brian Higgins,"Buffalo State College ( BA , MA ) Harvard University ( MPA )"
O. Francis Biondi,O. Francis Biondi,
Farris Wilks,Farris Wilks,
Gordon Wu,Gordon Wu,
Alan Miller & family,Alan Miller,
Herald Chen,Herald Chen,
Joseph Steinberg,Joseph Steinberg,New York University School of Law
Li Li,Li Li,
Zhu Weisong,Zhu Weisong,
Li Rucheng,Li Rucheng,
Tian Ming,Tian Ming,
Bernhard Braun-Luedicke,Bernhard Braun-Luedicke,
