rank,id,name,source,country,gender,age,image,current_worth,previous_worth
799,anthony-hall,Anthony Hall,Technology ,Australia,M,70,https://specials-images.forbesimg.com/imageserve/67aa5ff1bc9ed36fda009157/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,5.0,5.1
800,luo-liguo,Luo Liguo & family,Chemicals,China,M,69,https://specials-images.forbesimg.com/imageserve/672508195d2ff12bbe0246c8/416x416.jpg?background=000000&cropX1=2&cropX2=800&cropY1=1&cropY2=799,5.0,5.1
801,hamilton-james,Hamilton James & family,Investments,United States,M,74,https://specials-images.forbesimg.com/imageserve/614b5aeff199e384eaf46262/416x416.jpg?background=000000&cropX1=640&cropX2=3052&cropY1=0&cropY2=2410,5.0,5.0
802,stephen-feinberg,Stephen Feinberg,Private equity,United States,M,65,https://specials-images.forbesimg.com/imageserve/5898b33e31358e590cda3d77/416x416.jpg?background=000000&cropX1=55&cropX2=744&cropY1=26&cropY2=716,5.0,5.0
803,mike-brown-1,Mike Brown & family,Cincinnati Bengals,United States,M,90,https://specials-images.forbesimg.com/imageserve/67e44853b0032c65d7e734e3/416x416.jpg?background=000000&cropX1=898&cropX2=2432&cropY1=216&cropY2=1751,5.0,5.0
804,patrizio-bertelli,Patrizio Bertelli,Luxury goods,Italy,M,79,https://specials-images.forbesimg.com/imageserve/5e76d9a3d8e1ae0007b72654/416x416.jpg?background=000000&cropX1=236&cropX2=3184&cropY1=214&cropY2=3164,5.0,5.0
805,miuccia-prada,Miuccia Prada,Luxury goods,Italy,F,76,https://specials-images.forbesimg.com/imageserve/5e76d828d8e1ae0007b7263e/416x416.jpg?background=000000&cropX1=808&cropX2=2296&cropY1=681&cropY2=2171,5.0,4.9
806,sam-hupert,Sam Hupert,Technology,Australia,M,70,https://specials-images.forbesimg.com/imageserve/67aa60e8e41a1c4ca1f37690/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,5.0,5.0
807,chairul-tanjung,Chairul Tanjung,Diversified,Indonesia,M,63,https://specials-images.forbesimg.com/imageserve/656f867568dbeddfe3ae0624/416x416.jpg?background=000000&cropX1=210&cropX2=1019&cropY1=242&cropY2=1052,4.9,4.9
808,peter-cancro,Peter Cancro,Jersey Mike's Subs,United States,M,68,https://specials-images.forbesimg.com/imageserve/66fb368bdc6b0233c67c212e/416x416.jpg?background=000000&cropX1=455&cropX2=1191&cropY1=143&cropY2=880,4.9,4.9
809,mong-koo-chung,Mong-Koo Chung,Hyundai,South Korea,M,87,https://specials-images.forbesimg.com/imageserve/625f1307e00af37ba126f9f0/416x416.jpg?background=000000&cropX1=37&cropX2=578&cropY1=7&cropY2=548,4.9,4.9
810,eric-yuan,Eric Yuan & family,Zoom Video Communications,United States,M,55,https://specials-images.forbesimg.com/imageserve/5e88ce29e2bb040006427860/416x416.jpg?background=000000&cropX1=489&cropX2=2675&cropY1=386&cropY2=2573,4.9,4.9
